,Rank,Negative word,Negative count,Negative share (%),Negative word overlaps,Uncertainty word,Uncertainty count,Uncertainty share (%),Uncertainty word overlaps
0,1,LOSS,63077,4.735439407816699,False,MAY,414537,37.92365264119925,False
1,2,ADVERSELY,62516,4.693322923079233,False,COULD,225481,20.6279852490616,False
2,3,ADVERSE,39022,2.92953559255867,False,RISK,54203,4.95872683044197,False
3,4,CLAIMS,36314,2.7262353418116847,False,RISKS,53719,4.914448399618327,False
4,5,UNABLE,29147,2.1881803576522874,False,BELIEVE,34090,3.118701873508233,False
5,6,AGAINST,28701,2.1546973769162627,False,APPROXIMATELY,19168,1.7535722355941863,False
6,7,HARM,28255,2.1212143961802377,False,ASSUMPTIONS,14235,1.3022798817656116,False
7,8,FAILURE,26919,2.02091560186784,False,FLUCTUATIONS,13432,1.2288179397172951,False
8,9,LOSSES,25403,1.9071034969444902,False,UNCERTAINTIES,13388,1.2247926278242365,False
9,10,LITIGATION,25037,1.8796264320355551,False,MIGHT,13250,1.212167785977826,False
10,11,FAIL,20229,1.518670890827465,False,POSSIBLE,12636,1.1559963881974196,False
11,12,NEGATIVELY,17501,1.3138691611237068,False,DEPEND,11231,1.027460860703167,False
12,13,DIFFICULT,17461,1.3108662032101621,False,PREDICT,11004,1.0066939107094337,False
13,14,CRITICAL,14858,1.1154487169862315,False,ANTICIPATED,10822,0.9900437569699647,False
14,15,PENALTIES,14677,1.101860332427441,False,UNCERTAIN,10123,0.9260961884870591,False
15,16,NEGATIVE,14253,1.0700289785438657,False,ANTICIPATE,9684,0.8859345539176805,False
16,17,DELAYS,14111,1.0593684779507815,False,UNCERTAINTY,9532,0.8720289310143877,False
17,18,DECLINE,13472,1.0113962252819026,False,INTANGIBLE,8870,0.8114662838960994,False
18,19,DELAY,12627,0.9479587393582679,False,DIFFER,8456,0.7735917583568677,False
19,20,RESTATED,11475,0.8614735514481765,False,DEPENDS,8320,0.7611498852328689,False
20,21,LIMITATIONS,11446,0.8592964069608564,False,VOLATILITY,8079,0.7391021541822533,True
21,22,CHALLENGES,11304,0.8486359063677723,False,EXPOSURE,7184,0.6572236509029964,False
22,23,HARMED,10512,0.7891773396795844,False,DEPENDENT,6456,0.5906230359451203,False
23,24,DISRUPTIONS,10349,0.7769402861818892,False,PENDING,6006,0.5494550734024772,False
24,25,FINES,10293,0.7727361451029264,False,FLUCTUATE,5322,0.4868797703376596,False
25,26,DAMAGES,9628,0.7228119697902434,False,VARY,5246,0.4799269588860132,False
26,27,IMPAIRMENT,8888,0.6672572483896638,False,REVISED,4530,0.4144241562626077,False
27,28,BREACH,8798,0.660500593084188,False,CONTINGENT,4300,0.39338275318525673,False
28,29,UNAUTHORIZED,8645,0.6490142790648789,False,CONTINGENCIES,4214,0.3855150981215516,False
29,30,INVESTIGATIONS,8433,0.6330986021230912,False,DEPENDING,3967,0.36291846090370083,False
